review_id,helpful_votes,total_votes
RFPF7A5TCI5W,33,38
R2OLVXFC7SRL5V,16,22
R3TES9OGYTSL3,21,26
R2NADC7IZ2Q0IQ,20,23
R100C1RGS1H88R,24,25
R3BV9OHIBQRCRU,0,39
RMQG7FUM3FLQY,33,33
R2P1SGCB7IF0VJ,41,41
RPADUIJV58JCA,18,23
R2ZP2HN23F4OJY,24,25
R1425US904APEV,25,27
R18YMWMKUJOLLI,21,28
R3H0N8MALVYAEO,51,58
R6NNL6BQ4YYEZ,67,68
R3CAKM95BPXJKM,34,34
R1I5V7TTTSWTBU,17,24
R3USMAQERTNDJD,34,36
R1W29KJWFHG9CR,21,21
R262TK6WS9DLNM,24,25
R12V00Z2HYJUS,25,26
R3OGLNPH4HA8XG,21,22
R3M6CFG8BDNVVD,72,72
R18XXOXS0CWQGW,22,22
R2XJ66CD5YGUOQ,26,27
R5FOI6SHSCF3F,20,22
R262DG911CTDRQ,34,50
RGE6U0QFKZABK,23,23
R1ESXX5R854RJ2,19,24
RTOQOETUEFXN9,24,25
R28E220ALT962R,48,52
R3HKP4ZEK5T1HJ,24,27
R3HHWZT6ORD0KO,52,61
R11JEJKMQ3CNCF,21,33
RFNQQJUKW7AA7,19,21
R2OCD029803K8K,21,24
R6FHHO64TEAMT,21,23
R1IB0P7NCO9C1K,32,33
RAY5NDWBZ7POX,21,30
RRCHXU8U2U9WL,24,34
RSH3MUYM777RF,21,21
R340DMWD100UN0,57,62
R29U183Y944J3O,17,24
R1FXWCQWKD9ZEH,61,66
RXXXQ7Y5YSLKP,7,21
R32B8AG9V1SFDY,39,41
R229GQNYTX703V,27,28
R2N78GZEAQ0LYA,103,108
R14DNCKWUGC8BP,20,20
R2U5CTNQKEXGOM,18,24
RD8VNAXVNCW0G,54,57
R32F2IOYF67XHX,18,23
R2IDTEF8V5RFBO,45,50
RB1WJL4JN5OYK,24,26
R33YROEPV3A21Z,24,26
R3LLNDATB205JX,21,21
RZTSOK7FIW37P,15,21
R3W1GP15R5NSB2,25,26
R1E85KTTO5E2AA,1,20
R2600AF17O4AHP,22,32
RN2DYLXOAW9C9,43,50
RC62R26HD1NTN,65,66
R1KQ7H6E9JGSTK,65,73
R1OPE7BSBMZLHU,22,22
R3L55HFQJLQ4JB,20,20
R26IKJ9STLORRE,5,71
R3EAXGJK2YNYYB,101,103
R1K2YS49W3Q3RY,25,28
RW20AYQ16I9FM,28,35
R3IHBJBZQIEHEC,27,28
R2SGKQYDD08CUC,39,40
R24LLPB08SD6H9,30,31
R2UI2DQ0LYGVE9,38,39
R3ALVWA63KMNAK,94,98
R1KUWY47AMC4J9,1,20
R1TZPSC1UWQ1Z7,16,20
R1CIL1JOCV5STL,49,57
R9CQHG4XFHBC9,69,70
R2ZNS0DGAFK71F,10,22
R3OISTNTWJ35WC,3,25
R1VFC83GF350NB,47,49
R1A3T6ULD2793O,30,33
R1L07R1X9HH030,27,32
RPSL8S9E337VH,57,64
R38YJ62KUEM3GI,33,33
R1T60HQEPKX9VM,21,22
RC68OTPA5F2KO,34,34
R2LLR8GHD5ZEFU,48,50
R3T6ZG6X3NHDJS,38,42
R1EFSQ9TZ1QLA8,167,168
R13PA3YETVQDNK,92,103
R1HSBLSVMMT4XS,18,21
R1G8EBF7XO5Z0P,30,32
R3QZHLOA1KVVWN,28,29
RP6T8UU4D2EG7,25,25
R30USWZHV6RUTR,20,24
R2HKW1GC7JQNIM,20,21
R2RSJJT56QSJMW,30,38
R2ODVDSL169DDY,31,32
R1G28NI332HSV6,23,23
R2AE46ZAWL75YM,23,25
R2NHBQZ59MRUG3,45,75
R689DOVOTEJF6,20,35
R2WLIIF948I4L4,24,24
R2DQY487SMZNV6,46,53
R3IW71UFEB3AEE,22,24
R1WGYEIRGVX56Y,47,48
R2S6B7WGDU1IRV,23,26
RZ94I18S54EHQ,124,130
R364VVNJT2EA18,26,27
R1HFLGLUPUYI87,27,29
R8DKWIQUWKHRU,30,30
R3H1AV81NLE6C1,18,26
R336TLZLH2ULV0,0,49
R2RMKN4JQDI5I7,28,28
RB1L0UQ59WSPR,28,30
R3RA03UCLZBKAK,34,37
RJHJPM9VN871O,73,96
R1OMMDV1CSZ6RB,29,30
R24O11JP45PNLP,177,193
R2QNRZZCU6ZLJC,42,46
R12WHKC3CDHDI6,20,20
R3479NJDBNL4GH,31,31
R3R15IEWJJPSV9,50,51
R16VV3DQTK3426,72,79
R1BYMY08L9O8LX,20,20
RC4QHD6L1X8PN,32,33
R2II0DRKU3ZK43,38,43
R2A7OTAF65FYKD,19,21
R1J8MT3ADZSKXQ,173,178
RDN4ZNUAIOY03,24,24
R18KAMWSXJMEMW,28,30
RVLX8XMXKPTBJ,19,20
R1F4RD4UK8USRJ,25,26
R39ZPK8M8735US,73,79
R1UKR35YG14WSU,22,22
R2D5WQ9REMJO05,32,35
RVKKZ9G9NRTQF,4,21
R2M27CDGNTIQ8X,106,112
RFY6F1M2EPJBM,27,34
R1HLMLAVIZ1EK,23,26
R30Y6JL8U60Y80,21,21
RZDXN0YVPBDCW,82,89
R32CI0LCNIACTF,76,79
R23M0KXMA7NE59,20,23
R3A8LRP9P2EZDT,20,21
R27I6L0R2WPG50,30,31
RV716YK8H6Y9A,48,56
R35ACZDN3D2NZO,52,56
RZBOM47K97CHL,73,84
R3SJS0M8US7TKB,49,49
RQP7T1RKV26BQ,19,20
R1LVDPVKYMAFE6,20,22
R116NIIYCHKWNI,37,48
R337I2YH9X6FQ4,22,26
R2F8KWNDX2FICB,19,20
R4NGX17TJB3OY,40,44
R1US2OGDOVW4MD,16,26
R2AIODMNQD0HC7,20,22
R18OQ3W8UDZJX1,17,27
R3OY62MEH4Y9XM,20,20
R2F6NMTVIS0CLM,34,39
R2NU2WYYIRSTDS,90,92
R2X5P1NB5YDGDM,22,24
R11RVT04OOROSZ,102,109
R1OFF2XR5O3FIL,14,20
RZL7YV3TL2OR3,33,37
R3664AA6C9XRPZ,20,21
R27N2XCLNAETBG,34,36
R182QMSLSG5W2W,23,28
RIRDCI5JUPZFX,67,72
R2AKCHIQG1B11E,51,54
R2LMMSU8IZDLKV,33,36
R1IEILD9FMNU3Z,21,21
RV0GXE1FYIH1D,17,20
R3L00CM1E3HIAJ,27,113
R1DRVI3IMCWD6J,26,26
R1JZ082FZR3SNU,16,20
R1U8TJXHUJJ2MY,13,27
RA6X7992H99P9,18,20
R3MB6IK5XN263B,19,22
R2RUG4VSMSG53L,78,84
RX7QUDACJNXII,20,20
RRC6UGK8OMKA8,3,33
R1PHHOOQ0TL7OQ,54,57
R3U89VIIUJDHQR,21,21
RF6M9Z9HE1AFK,123,124
R3F8FHW2NJ04X6,57,58
R2IFTEWVIR2CQQ,41,49
R2KZDVWO6S4SD0,72,87
R3RMFHC0JAP6LD,19,20
R9BDVDXF0NV2Q,106,112
R3S0NEH3XHFECG,65,65
R1CXJ7C9HWUV8V,23,24
R2B9NE9ELK9PF7,21,22
RVSSNRX70LOTN,30,31
R1TEICURDJJ0GT,19,20
R3C0VM93W1Y0JV,20,21
R33FSB8LJ2F9I1,24,26
RM5GZ426HN9DH,23,25
R1OGY8O665IOSK,163,176
R3217KS0S7NVM1,17,20
R1S2WZT7HP8BPM,75,83
R2IIY0AEAT5FLQ,26,31
R3UKB5S8NY8VRJ,24,24
R26OUCGYI19UXD,27,30
RDHPXXBBCWJLD,23,23
R9HGM3OKJHLZ,19,24
R3TQYNVAKUB618,34,35
RKB9XOF8DM68H,39,45
RPGJ2XDOXTNF6,9,52
R1RCGWT37Y6VNY,30,36
RB38YRL6Z5TVV,20,21
RGNWUEW2RKPQ2,32,37
R337N9A4B4NYIW,21,25
R2Y9DE7X9AFOIE,21,22
R2956OOAQB80T5,55,63
RKNGR7G9O482D,24,24
R2WQVAZ3LOWXYR,61,66
R3JFV8NA3FOJEJ,20,29
R35ZO4R10KVJ6G,13,27
R2A2A6USTFV1SZ,99,117
REDRD9YSU2XES,35,42
RL9WDK7A20R8I,28,30
R2HEX54IKH0G3M,19,23
R2ZKB5SL5OT2EY,31,44
R2B4UF780MBP0A,40,44
R3PDX09432Y1BD,118,127
R1O51IIWD6QSGS,33,35
R3F804AJDQ3X6V,43,45
R1IRZKEA7JK6ZA,12,22
R1NKB7DGG9MUH4,142,164
RN1KHG4C8UBWM,43,47
R1A60I6J9IIXHP,20,20
R2ODFJDQ7PFEPY,31,38
R24F5Z5ZLJQ1JF,1,28
