review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase, Percent 
RFPF7A5TCI5W,5,33,38,N,Y, 0.87 
R2OLVXFC7SRL5V,2,16,22,N,Y, 0.73 
R3TES9OGYTSL3,5,21,26,N,N, 0.81 
R2NADC7IZ2Q0IQ,5,20,23,N,Y, 0.87 
R100C1RGS1H88R,5,24,25,N,Y, 0.96 
R3BV9OHIBQRCRU,4,0,39,N,Y, -   
RMQG7FUM3FLQY,5,33,33,N,Y, 1.00 
R2P1SGCB7IF0VJ,5,41,41,N,N, 1.00 
RPADUIJV58JCA,5,18,23,N,Y, 0.78 
R2ZP2HN23F4OJY,5,24,25,N,Y, 0.96 
R1425US904APEV,3,25,27,N,Y, 0.93 
R18YMWMKUJOLLI,1,21,28,N,Y, 0.75 
R3H0N8MALVYAEO,3,51,58,N,Y, 0.88 
R6NNL6BQ4YYEZ,1,67,68,N,Y, 0.99 
R3CAKM95BPXJKM,5,34,34,N,Y, 1.00 
R1I5V7TTTSWTBU,5,17,24,N,N, 0.71 
R3USMAQERTNDJD,4,34,36,N,Y, 0.94 
R1W29KJWFHG9CR,5,21,21,N,N, 1.00 
R262TK6WS9DLNM,4,24,25,N,Y, 0.96 
R12V00Z2HYJUS,5,25,26,N,Y, 0.96 
R3OGLNPH4HA8XG,3,21,22,N,Y, 0.95 
R3M6CFG8BDNVVD,5,72,72,N,Y, 1.00 
R18XXOXS0CWQGW,5,22,22,Y,N, 1.00 
R2XJ66CD5YGUOQ,4,26,27,N,Y, 0.96 
R5FOI6SHSCF3F,1,20,22,N,Y, 0.91 
R262DG911CTDRQ,2,34,50,N,N, 0.68 
RGE6U0QFKZABK,5,23,23,N,Y, 1.00 
R1ESXX5R854RJ2,4,19,24,N,N, 0.79 
RTOQOETUEFXN9,1,24,25,N,N, 0.96 
R28E220ALT962R,5,48,52,N,Y, 0.92 
R3HKP4ZEK5T1HJ,4,24,27,N,Y, 0.89 
R3HHWZT6ORD0KO,4,52,61,N,Y, 0.85 
R11JEJKMQ3CNCF,1,21,33,N,Y, 0.64 
RFNQQJUKW7AA7,5,19,21,N,Y, 0.90 
R2OCD029803K8K,4,21,24,N,Y, 0.88 
R6FHHO64TEAMT,1,21,23,N,Y, 0.91 
R1IB0P7NCO9C1K,4,32,33,N,Y, 0.97 
RAY5NDWBZ7POX,1,21,30,N,N, 0.70 
RRCHXU8U2U9WL,5,24,34,N,Y, 0.71 
RSH3MUYM777RF,5,21,21,N,Y, 1.00 
R340DMWD100UN0,1,57,62,N,Y, 0.92 
R29U183Y944J3O,3,17,24,N,Y, 0.71 
R1FXWCQWKD9ZEH,2,61,66,N,N, 0.92 
