review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
RFPF7A5TCI5W,5,33,38,N,Y
R2OLVXFC7SRL5V,2,16,22,N,Y
R3TES9OGYTSL3,5,21,26,N,N
R2NADC7IZ2Q0IQ,5,20,23,N,Y
R100C1RGS1H88R,5,24,25,N,Y
RMQG7FUM3FLQY,5,33,33,N,Y
R2P1SGCB7IF0VJ,5,41,41,N,N
RPADUIJV58JCA,5,18,23,N,Y
R2ZP2HN23F4OJY,5,24,25,N,Y
R1425US904APEV,3,25,27,N,Y
R18YMWMKUJOLLI,1,21,28,N,Y
R3H0N8MALVYAEO,3,51,58,N,Y
R6NNL6BQ4YYEZ,1,67,68,N,Y
R3CAKM95BPXJKM,5,34,34,N,Y
R1I5V7TTTSWTBU,5,17,24,N,N
R3USMAQERTNDJD,4,34,36,N,Y
R1W29KJWFHG9CR,5,21,21,N,N
R262TK6WS9DLNM,4,24,25,N,Y
R12V00Z2HYJUS,5,25,26,N,Y
R3OGLNPH4HA8XG,3,21,22,N,Y
R3M6CFG8BDNVVD,5,72,72,N,Y
R2XJ66CD5YGUOQ,4,26,27,N,Y
R5FOI6SHSCF3F,1,20,22,N,Y
R262DG911CTDRQ,2,34,50,N,N
RGE6U0QFKZABK,5,23,23,N,Y
R1ESXX5R854RJ2,4,19,24,N,N
RTOQOETUEFXN9,1,24,25,N,N
R28E220ALT962R,5,48,52,N,Y
R3HKP4ZEK5T1HJ,4,24,27,N,Y
R3HHWZT6ORD0KO,4,52,61,N,Y
R11JEJKMQ3CNCF,1,21,33,N,Y
RFNQQJUKW7AA7,5,19,21,N,Y
R2OCD029803K8K,4,21,24,N,Y
R6FHHO64TEAMT,1,21,23,N,Y
R1IB0P7NCO9C1K,4,32,33,N,Y
RAY5NDWBZ7POX,1,21,30,N,N
RRCHXU8U2U9WL,5,24,34,N,Y
RSH3MUYM777RF,5,21,21,N,Y
R340DMWD100UN0,1,57,62,N,Y
R29U183Y944J3O,3,17,24,N,Y
R1FXWCQWKD9ZEH,2,61,66,N,N
R32B8AG9V1SFDY,1,39,41,N,Y
R229GQNYTX703V,5,27,28,N,Y
R2N78GZEAQ0LYA,5,103,108,N,Y
R14DNCKWUGC8BP,3,20,20,N,Y
R2U5CTNQKEXGOM,1,18,24,N,Y
RD8VNAXVNCW0G,4,54,57,N,Y
R32F2IOYF67XHX,5,18,23,N,N
R2IDTEF8V5RFBO,5,45,50,N,Y
RB1WJL4JN5OYK,5,24,26,N,Y
R33YROEPV3A21Z,4,24,26,N,Y
R3LLNDATB205JX,4,21,21,N,N
RZTSOK7FIW37P,5,15,21,N,N
R3W1GP15R5NSB2,1,25,26,N,N
R2600AF17O4AHP,3,22,32,N,N
RN2DYLXOAW9C9,5,43,50,N,N
RC62R26HD1NTN,5,65,66,N,Y
R1KQ7H6E9JGSTK,5,65,73,N,Y
R1OPE7BSBMZLHU,5,22,22,N,N
R3L55HFQJLQ4JB,4,20,20,N,Y
R3EAXGJK2YNYYB,3,101,103,N,Y
R1K2YS49W3Q3RY,5,25,28,N,Y
RW20AYQ16I9FM,5,28,35,N,Y
R3IHBJBZQIEHEC,4,27,28,N,N
R2SGKQYDD08CUC,1,39,40,N,Y
R24LLPB08SD6H9,5,30,31,N,Y
R2UI2DQ0LYGVE9,5,38,39,N,Y
R1TZPSC1UWQ1Z7,5,16,20,N,Y
R1CIL1JOCV5STL,3,49,57,N,Y
R9CQHG4XFHBC9,5,69,70,N,N
R1VFC83GF350NB,5,47,49,N,N
R1A3T6ULD2793O,5,30,33,N,Y
R1L07R1X9HH030,5,27,32,N,Y
RPSL8S9E337VH,5,57,64,N,Y
R38YJ62KUEM3GI,2,33,33,N,Y
R1T60HQEPKX9VM,5,21,22,N,Y
RC68OTPA5F2KO,4,34,34,N,Y
R2LLR8GHD5ZEFU,5,48,50,N,Y
R3T6ZG6X3NHDJS,5,38,42,N,Y
R1EFSQ9TZ1QLA8,5,167,168,N,Y
R1HSBLSVMMT4XS,1,18,21,N,N
R1G8EBF7XO5Z0P,1,30,32,N,Y
R3QZHLOA1KVVWN,5,28,29,N,Y
RP6T8UU4D2EG7,5,25,25,N,Y
R30USWZHV6RUTR,5,20,24,N,Y
R2HKW1GC7JQNIM,5,20,21,N,Y
R2RSJJT56QSJMW,1,30,38,N,Y
R2ODVDSL169DDY,5,31,32,N,N
R1G28NI332HSV6,5,23,23,N,Y
R2AE46ZAWL75YM,5,23,25,N,Y
R2NHBQZ59MRUG3,1,45,75,N,N
R689DOVOTEJF6,1,20,35,N,Y
R2WLIIF948I4L4,5,24,24,N,Y
R3IW71UFEB3AEE,4,22,24,N,N
R1WGYEIRGVX56Y,5,47,48,N,N
R2S6B7WGDU1IRV,2,23,26,N,Y
RZ94I18S54EHQ,3,124,130,N,Y
R364VVNJT2EA18,5,26,27,N,Y
R1HFLGLUPUYI87,5,27,29,N,Y
R8DKWIQUWKHRU,4,30,30,N,N
R3H1AV81NLE6C1,5,18,26,N,N
R2RMKN4JQDI5I7,5,28,28,N,Y
RB1L0UQ59WSPR,5,28,30,N,Y
RJHJPM9VN871O,2,73,96,N,Y
R1OMMDV1CSZ6RB,3,29,30,N,N
R2QNRZZCU6ZLJC,5,42,46,N,Y
R12WHKC3CDHDI6,4,20,20,N,Y
R3479NJDBNL4GH,5,31,31,N,Y
R3R15IEWJJPSV9,5,50,51,N,N
R16VV3DQTK3426,5,72,79,N,N
R1BYMY08L9O8LX,4,20,20,N,Y
RC4QHD6L1X8PN,5,32,33,N,Y
R2II0DRKU3ZK43,5,38,43,N,Y
R2A7OTAF65FYKD,5,19,21,N,Y
R1J8MT3ADZSKXQ,5,173,178,N,Y
RDN4ZNUAIOY03,2,24,24,N,N
R18KAMWSXJMEMW,5,28,30,N,N
RVLX8XMXKPTBJ,5,19,20,N,Y
R1F4RD4UK8USRJ,1,25,26,N,Y
R39ZPK8M8735US,5,73,79,N,Y
R1UKR35YG14WSU,5,22,22,N,Y
R2D5WQ9REMJO05,5,32,35,N,Y
R2M27CDGNTIQ8X,5,106,112,N,N
RFY6F1M2EPJBM,5,27,34,N,Y
R1HLMLAVIZ1EK,4,23,26,N,Y
R30Y6JL8U60Y80,5,21,21,N,N
RZDXN0YVPBDCW,5,82,89,N,N
R32CI0LCNIACTF,5,76,79,N,N
R23M0KXMA7NE59,5,20,23,N,N
R3A8LRP9P2EZDT,5,20,21,N,Y
